招生办 电话	北师大招生办电话：010-58807962
保卫处 电话	北师大保卫处24小时报警电话：010-58806110
后勤 电话	北师大后勤服务中心电话：010-58801111
校医院 电话	北师大校医院电话：010-58805581，010-58808223
图书馆 电话	北师大图书馆电话：010-58809911
节能办 电话	北师大节能办电话：010-58808275
师大地图	师大高清校园地图见群文件
学校 地图	师大高清校园地图见群文件
wei, zaima	滚，不在
麦当劳 电话	北师大东门麦当劳电话：010-58802867
小白鼠	谁在叫我？
校园卡 补	自助校园卡补卡机位于学十六楼南侧信息网络中心
户籍办 电话	北师大户籍办电话：010-58808055
分数线 北师大	各省历年录取分数线请参阅群文件
培养方案	各专业课程及往年培养方案均在群文件中
体测	体测计分标准已上传至群相册
珠海 群	珠海校区及各个院系QQ群请参阅群公告
迁户口	迁户口属于自愿。迁户口毕业必须迁回，且除非退学无法提前迁出，现在身份证已全国通办，迁户口意义有限。
VPN	北师大VPN使用教程请参见vpn.bnu.edu.cn或sslvpn.bnu.edu.cn
vpn	北师大VPN使用教程请参见vpn.bnu.edu.cn或sslvpn.bnu.edu.cn
微批恩	北师大VPN使用教程请参见vpn.bnu.edu.cn或sslvpn.bnu.edu.cn论.
数据采集	所有账号一般开学前一周生效
信 采集	所有账号一般开学前一周生效, 请耐心等待
报道 时间	2023年新生报到日是8月27日
银行卡	关于银行卡。如果随通知书附带银行卡，持身份证和录取通知书去任何一个中国银行网点激活即可，激活后自动绑定学校的相关系统。\n如果未随通知书附带银行卡，建议来北京的中国银行开户银行户口(已有外地中国银行户口也可以用，但是略麻烦)。办好银行卡后依次前往信息网络中心和财经处绑定银行卡( 持身份证和学生证)。绑定结束后和其他校办银行卡使用方法相同。\n绑定的银行卡有以下作用: 划钱入校园卡，划学费，发放奖助学 金等。随通知书附带的卡自动绑定以上功能，自办卡依照上述说明去指定部门绑定相关功能。
生活费 多少	此问题比较主观，一月600也勉强能够部分人吃饱穿暖，但是生活质量很低。一月1000-2000则会获得更高的生活质量。\n校园附近物价也会随着季节和年份等原因变化，生活费还是 要看个人预期生活水平和家庭条件。可以先在师大生活一两个月之后，学生再和家长更细致地讨论这个问题。\n并不建议节衣缩食到过低的生活标准，如果家庭条件困难可以申请贫困生补助，北师大也有系列奖学金和勤工助学项目保证同学的生活。
入学考试	入学有英语和计算机两个考试。\n英语分免修-优秀-普通三类。免修(每年1-2人)被认为英语水平突出，但考试极难通过。优秀类会参加 比普通类更难的英语课，且在期末评分上更具挑战性。\n计算机分免修-普通-加强三类。免修者免修第一学期计算机基础。加强同学被认为计算机水平不过关，有可能生活在不便接触计算机的环境，会被推荐参加一个周末开设的计算机基础班(从开关机教起)。一般大量接触过电脑的同学不太容易被划至加强班。\n英语专业不考英语分级，计算机专业不考计算机分级。
团 转	团组织转接问题加院系群(或者查教务电话本)或者开学后问辅导员怎么填。不同院系接收团组织可能不同。
